1024, 3162, 82568, 551
2048, 7065, 252822, 1889
4096, 22658, 1.04036e+06, 7009
8192, 115736, 3.97824e+06, 36246
16384, 502999, 1.66997e+07, 119283
32768, 3.00407e+06, 6.40986e+07, 980876
