1024, 4072, 4845, 2150
2048, 15694, 22793, 11741
4096, 43320, 60430, 29283
8192, 545557, 224534, 100650
16384, 727453, 903263, 419420
32768, 3.85432e+06, 3.84514e+06, 1.61929e+06
