1024, 2982, 420, 354, 827
2048, 12182, 1666, 1877, 4047
4096, 51747, 8382, 4701, 13153
8192, 173366, 30857, 19090, 50314
16384, 671460, 125203, 76744, 186226
32768, 5.12966e+06, 426034, 291915, 721543
